Timestamp_Step,Day,Hour,Bin_ID,Zone_Type,Fill_Level_Percent
0,1,0,808672175#4,commercial,0.0
0,1,0,-1180597073#27,commercial,0.0
0,1,0,1308540805,commercial,0.0
0,1,0,945322275#7,commercial,0.0
0,1,0,949108818#4,commercial,0.0
0,1,0,1266449985#1,commercial,0.0
0,1,0,707066366#5,commercial,0.0
0,1,0,136161770#1,commercial,0.0
0,1,0,1014224394_2,commercial,0.0
0,1,0,1158120933#3,commercial,0.0
0,1,0,-1040439218,residential,0.0
0,1,0,601448200#1,residential,0.0
0,1,0,1411385464,residential,0.0
0,1,0,-1320695763,residential,0.0
0,1,0,180082258#0,residential,0.0
0,1,0,-601455484#0,residential,0.0
0,1,0,1410492198#1,residential,0.0
0,1,0,1361713742,residential,0.0
0,1,0,-194873142,residential,0.0
0,1,0,-601894327,residential,0.0
900,1,0,808672175#4,commercial,0.45
900,1,0,-1180597073#27,commercial,0.45
900,1,0,1308540805,commercial,0.45
900,1,0,945322275#7,commercial,0.45
900,1,0,949108818#4,commercial,0.45
900,1,0,1266449985#1,commercial,0.45
900,1,0,707066366#5,commercial,0.45
900,1,0,136161770#1,commercial,0.45
900,1,0,1014224394_2,commercial,0.45
900,1,0,1158120933#3,commercial,0.46
900,1,0,-1040439218,residential,0.03
900,1,0,601448200#1,residential,0.03
900,1,0,1411385464,residential,0.03
900,1,0,-1320695763,residential,0.03
900,1,0,180082258#0,residential,0.04
900,1,0,-601455484#0,residential,0.04
900,1,0,1410492198#1,residential,0.04
900,1,0,1361713742,residential,0.04
900,1,0,-194873142,residential,0.03
900,1,0,-601894327,residential,0.04
1800,1,0,808672175#4,commercial,0.9
1800,1,0,-1180597073#27,commercial,0.89
1800,1,0,1308540805,commercial,0.9
1800,1,0,945322275#7,commercial,0.91
1800,1,0,949108818#4,commercial,0.91
1800,1,0,1266449985#1,commercial,0.9
1800,1,0,707066366#5,commercial,0.9
1800,1,0,136161770#1,commercial,0.9
1800,1,0,1014224394_2,commercial,0.9
1800,1,0,1158120933#3,commercial,0.91
1800,1,0,-1040439218,residential,0.07
1800,1,0,601448200#1,residential,0.07
1800,1,0,1411385464,residential,0.07
1800,1,0,-1320695763,residential,0.07
1800,1,0,180082258#0,residential,0.07
1800,1,0,-601455484#0,residential,0.07
1800,1,0,1410492198#1,residential,0.07
1800,1,0,1361713742,residential,0.07
1800,1,0,-194873142,residential,0.07
1800,1,0,-601894327,residential,0.07
2700,1,0,808672175#4,commercial,1.35
2700,1,0,-1180597073#27,commercial,1.34
2700,1,0,1308540805,commercial,1.35
2700,1,0,945322275#7,commercial,1.36
2700,1,0,949108818#4,commercial,1.36
2700,1,0,1266449985#1,commercial,1.35
2700,1,0,707066366#5,commercial,1.35
2700,1,0,136161770#1,commercial,1.35
2700,1,0,1014224394_2,commercial,1.36
2700,1,0,1158120933#3,commercial,1.37
2700,1,0,-1040439218,residential,0.11
2700,1,0,601448200#1,residential,0.1
2700,1,0,1411385464,residential,0.11
2700,1,0,-1320695763,residential,0.11
2700,1,0,180082258#0,residential,0.11
2700,1,0,-601455484#0,residential,0.11
2700,1,0,1410492198#1,residential,0.11
2700,1,0,1361713742,residential,0.11
2700,1,0,-194873142,residential,0.11
2700,1,0,-601894327,residential,0.11
3600,1,1,808672175#4,commercial,1.81
3600,1,1,-1180597073#27,commercial,1.79
3600,1,1,1308540805,commercial,1.81
3600,1,1,945322275#7,commercial,1.81
3600,1,1,949108818#4,commercial,1.81
3600,1,1,1266449985#1,commercial,1.8
3600,1,1,707066366#5,commercial,1.8
3600,1,1,136161770#1,commercial,1.8
3600,1,1,1014224394_2,commercial,1.81
3600,1,1,1158120933#3,commercial,1.82
3600,1,1,-1040439218,residential,0.14
3600,1,1,601448200#1,residential,0.14
3600,1,1,1411385464,residential,0.14
3600,1,1,-1320695763,residential,0.14
3600,1,1,180082258#0,residential,0.15
3600,1,1,-601455484#0,residential,0.14
3600,1,1,1410492198#1,residential,0.15
3600,1,1,1361713742,residential,0.14
3600,1,1,-194873142,residential,0.14
3600,1,1,-601894327,residential,0.15
4500,1,1,808672175#4,commercial,2.26
4500,1,1,-1180597073#27,commercial,2.25
4500,1,1,1308540805,commercial,2.26
4500,1,1,945322275#7,commercial,2.26
4500,1,1,949108818#4,commercial,2.26
4500,1,1,1266449985#1,commercial,2.25
4500,1,1,707066366#5,commercial,2.25
4500,1,1,136161770#1,commercial,2.26
4500,1,1,1014224394_2,commercial,2.26
4500,1,1,1158120933#3,commercial,2.27
4500,1,1,-1040439218,residential,0.18
4500,1,1,601448200#1,residential,0.18
4500,1,1,1411385464,residential,0.18
4500,1,1,-1320695763,residential,0.18
4500,1,1,180082258#0,residential,0.18
4500,1,1,-601455484#0,residential,0.18
4500,1,1,1410492198#1,residential,0.18
4500,1,1,1361713742,residential,0.18
4500,1,1,-194873142,residential,0.18
4500,1,1,-601894327,residential,0.19
5400,1,1,808672175#4,commercial,2.72
5400,1,1,-1180597073#27,commercial,2.7
5400,1,1,1308540805,commercial,2.71
5400,1,1,945322275#7,commercial,2.72
5400,1,1,949108818#4,commercial,2.71
5400,1,1,1266449985#1,commercial,2.7
5400,1,1,707066366#5,commercial,2.71
5400,1,1,136161770#1,commercial,2.71
5400,1,1,1014224394_2,commercial,2.71
5400,1,1,1158120933#3,commercial,2.72
5400,1,1,-1040439218,residential,0.21
5400,1,1,601448200#1,residential,0.21
5400,1,1,1411385464,residential,0.21
5400,1,1,-1320695763,residential,0.22
5400,1,1,180082258#0,residential,0.22
5400,1,1,-601455484#0,residential,0.21
5400,1,1,1410492198#1,residential,0.22
5400,1,1,1361713742,residential,0.21
5400,1,1,-194873142,residential,0.21
5400,1,1,-601894327,residential,0.22
6300,1,1,808672175#4,commercial,3.17
6300,1,1,-1180597073#27,commercial,3.15
6300,1,1,1308540805,commercial,3.16
6300,1,1,945322275#7,commercial,3.17
6300,1,1,949108818#4,commercial,3.17
6300,1,1,1266449985#1,commercial,3.15
6300,1,1,707066366#5,commercial,3.16
6300,1,1,136161770#1,commercial,3.17
6300,1,1,1014224394_2,commercial,3.16
6300,1,1,1158120933#3,commercial,3.17
6300,1,1,-1040439218,residential,0.25
6300,1,1,601448200#1,residential,0.25
6300,1,1,1411385464,residential,0.25
6300,1,1,-1320695763,residential,0.25
6300,1,1,180082258#0,residential,0.26
6300,1,1,-601455484#0,residential,0.25
6300,1,1,1410492198#1,residential,0.26
6300,1,1,1361713742,residential,0.25
6300,1,1,-194873142,residential,0.25
6300,1,1,-601894327,residential,0.26
7200,1,2,808672175#4,commercial,3.63
7200,1,2,-1180597073#27,commercial,3.6
7200,1,2,1308540805,commercial,3.62
7200,1,2,945322275#7,commercial,3.63
7200,1,2,949108818#4,commercial,3.63
